Date,Average Views
01/08/2016,2387
01/09/2016,5297
01/10/2016,4903
01/11/2016,13413
01/12/2016,14454
01/01/2017,17880
01/02/2017,31994
01/03/2017,28254
01/04/2017,43652
01/05/2017,73842
01/06/2017,76126
01/07/2017,229522
01/08/2017,287778
01/09/2017,108408
01/10/2017,125643
01/11/2017,114767
01/12/2017,58705
01/01/2018,71225
01/02/2018,105315
01/03/2018,144045
01/04/2018,306221
01/05/2018,153107
01/06/2018,162061
01/07/2018,192545
01/08/2018,233711
01/09/2018,178654
01/10/2018,166561
01/11/2018,158269
01/12/2018,120387
01/01/2019,153221
01/02/2019,155470
01/03/2019,135533
01/04/2019,268991
01/05/2019,256843
01/06/2019,151310
01/07/2019,133963
01/08/2019,107114
