Date,Average Views
01/09/2016,270863
01/10/2016,393265
01/11/2016,370511
01/12/2016,482413
01/01/2017,638279
01/02/2017,861344
01/03/2017,747463
01/04/2017,618694
01/05/2017,687554
01/06/2017,694483
01/07/2017,594902
01/08/2017,973181
01/09/2017,918459
01/10/2017,835398
01/11/2017,1044577
01/12/2017,853020
01/01/2018,1028579
01/02/2018,1090532
01/03/2018,981182
01/04/2018,1061008
01/05/2018,1096859
01/06/2018,1154710
01/07/2018,1276886
01/08/2018,1266777
01/09/2018,1713474
01/10/2018,1670061
01/11/2018,1700360
01/12/2018,1621766
01/01/2019,1924449
01/02/2019,2146160
01/03/2019,2275461
01/04/2019,2035111
01/05/2019,1995599
01/06/2019,1643496
01/07/2019,1864557
01/08/2019,2352835
