Date,Average Views
01/09/2016,123802
01/10/2016,252394
01/11/2016,292058
01/12/2016,213680
01/01/2017,324165
01/02/2017,444928
01/03/2017,411844
01/04/2017,425588
01/05/2017,392997
01/06/2017,413935
01/07/2017,314412
01/08/2017,367110
01/09/2017,442936
01/10/2017,682247
01/11/2017,657470
01/12/2017,702922
01/01/2018,402790
01/02/2018,707196
01/03/2018,1292859
01/04/2018,987815
01/05/2018,806418
01/06/2018,1099670
01/07/2018,1328563
01/08/2018,1163183
01/09/2018,1211180
01/10/2018,1551243
01/11/2018,1041909
01/12/2018,639067
01/01/2019,1192799
01/02/2019,1317440
01/03/2019,1453674
01/04/2019,1024400
01/05/2019,927279
01/06/2019,-827448
01/07/2019,557730
01/08/2019,1172613
