Date,Average Views
01/09/2016,249296
01/10/2016,338270
01/11/2016,458925
01/12/2016,261020
01/01/2017,310681
01/02/2017,391042
01/03/2017,397929
01/04/2017,244660
01/05/2017,275466
01/06/2017,295406
01/07/2017,267756
01/08/2017,169174
01/09/2017,247094
01/10/2017,366870
01/11/2017,268824
01/12/2017,152645
01/01/2018,232904
01/02/2018,271638
01/03/2018,265341
01/04/2018,221620
01/05/2018,211495
01/06/2018,176741
01/07/2018,244508
01/08/2018,279901
01/09/2018,245314
01/10/2018,270853
01/11/2018,242948
01/12/2018,243634
01/01/2019,324497
01/02/2019,282535
01/03/2019,249053
01/04/2019,301117
01/05/2019,234639
01/06/2019,215875
01/07/2019,290509
01/08/2019,263390
