Date,Average Views
01/09/2016,18828
01/10/2016,50452
01/11/2016,41705
01/12/2016,25832
01/01/2017,83133
01/02/2017,132961
01/03/2017,73477
01/04/2017,63759
01/05/2017,62582
01/06/2017,70657
01/07/2017,99529
01/08/2017,215268
01/09/2017,245665
01/10/2017,241467
01/11/2017,253403
01/12/2017,291821
01/01/2018,337800
01/02/2018,397538
01/03/2018,373315
01/04/2018,396962
01/05/2018,430489
01/06/2018,533779
01/07/2018,507014
01/08/2018,498710
01/09/2018,432817
01/10/2018,663622
01/11/2018,628575
01/12/2018,409252
01/01/2019,624528
01/02/2019,603394
01/03/2019,574409
01/04/2019,575875
01/05/2019,480074
01/06/2019,534890
01/07/2019,684882
01/08/2019,587047
