Date,Average Views
01/09/2016,128477
01/10/2016,165244
01/11/2016,265067
01/12/2016,231135
01/01/2017,266301
01/02/2017,288724
01/03/2017,231823
01/04/2017,232247
01/05/2017,248700
01/06/2017,219687
01/07/2017,260896
01/08/2017,236655
01/09/2017,177954
01/10/2017,162804
01/11/2017,218474
01/12/2017,184194
01/01/2018,200382
01/02/2018,142099
01/03/2018,177168
01/04/2018,163027
01/05/2018,155611
01/06/2018,158362
01/07/2018,175393
01/08/2018,189628
01/09/2018,153733
01/10/2018,106181
01/11/2018,88538
01/12/2018,125823
01/01/2019,166223
01/02/2019,178571
01/03/2019,233262
01/04/2019,326053
01/05/2019,265853
01/06/2019,128326
01/07/2019,70270
01/08/2019,80688
