Date,Average Views
01/09/2016,118409
01/10/2016,196321
01/11/2016,221891
01/12/2016,161504
01/01/2017,181066
01/02/2017,230771
01/03/2017,185700
01/04/2017,194642
01/05/2017,211720
01/06/2017,219198
01/07/2017,209220
01/08/2017,228416
01/09/2017,161077
01/10/2017,235678
01/11/2017,202687
01/12/2017,196358
01/01/2018,206898
01/02/2018,207332
01/03/2018,102372
01/04/2018,188272
01/05/2018,156632
01/06/2018,146078
01/07/2018,117391
01/08/2018,-133930
01/09/2018,190387
01/10/2018,101344
01/11/2018,89893
01/12/2018,107675
01/01/2019,126608
01/02/2019,62007
01/03/2019,93892
01/04/2019,87133
01/05/2019,60444
01/06/2019,30138
01/07/2019,78658
01/08/2019,158962
