Date,Average Views
01/09/2016,85044
01/10/2016,94612
01/11/2016,101434
01/12/2016,108229
01/01/2017,116091
01/02/2017,163472
01/03/2017,157784
01/04/2017,137333
01/05/2017,106578
01/06/2017,140039
01/07/2017,103413
01/08/2017,85707
01/09/2017,134915
01/10/2017,116757
01/11/2017,147322
01/12/2017,131262
01/01/2018,177249
01/02/2018,169575
01/03/2018,142748
01/04/2018,145106
01/05/2018,188835
01/06/2018,183961
01/07/2018,191924
01/08/2018,133606
01/09/2018,127451
01/10/2018,165328
01/11/2018,151207
01/12/2018,183350
01/01/2019,176127
01/02/2019,138399
01/03/2019,145175
01/04/2019,116998
01/05/2019,64923
01/06/2019,94495
01/07/2019,91946
01/08/2019,81570
