Date,Average Views
01/09/2016,27845
01/10/2016,68868
01/11/2016,103562
01/12/2016,93032
01/01/2017,94998
01/02/2017,101132
01/03/2017,67091
01/04/2017,125629
01/05/2017,150027
01/06/2017,147341
01/07/2017,58315
01/08/2017,102348
01/09/2017,133678
01/10/2017,116276
01/11/2017,109883
01/12/2017,109921
01/01/2018,153939
01/02/2018,138031
01/03/2018,103726
01/04/2018,131612
01/05/2018,141780
01/06/2018,198739
01/07/2018,212860
01/08/2018,241482
01/09/2018,225168
01/10/2018,278755
01/11/2018,292981
01/12/2018,227709
01/01/2019,256304
01/02/2019,278537
01/03/2019,275115
01/04/2019,241710
01/05/2019,197426
01/06/2019,212414
01/07/2019,255146
01/08/2019,263456
