Date,Average Views
01/09/2016,274451
01/10/2016,382851
01/11/2016,460801
01/12/2016,394669
01/01/2017,432505
01/02/2017,389552
01/03/2017,369457
01/04/2017,378147
01/05/2017,400241
01/06/2017,336286
01/07/2017,301309
01/08/2017,294385
01/09/2017,245173
01/10/2017,298627
01/11/2017,294179
01/12/2017,259201
01/01/2018,283116
01/02/2018,254557
01/03/2018,247127
01/04/2018,257373
01/05/2018,268305
01/06/2018,306508
01/07/2018,323904
01/08/2018,366375
01/09/2018,345996
01/10/2018,275252
01/11/2018,336996
01/12/2018,259826
01/01/2019,285119
01/02/2019,335861
01/03/2019,329175
01/04/2019,348122
01/05/2019,429344
01/06/2019,374663
01/07/2019,445121
01/08/2019,444180
