Date,Average Views
01/09/2016,11775
01/10/2016,28536
01/11/2016,19399
01/12/2016,16139
01/01/2017,32272
01/02/2017,35879
01/03/2017,37284
01/04/2017,30686
01/05/2017,26896
01/06/2017,34389
01/07/2017,61367
01/08/2017,24916
01/09/2017,53091
01/10/2017,45521
01/11/2017,55969
01/12/2017,38296
01/01/2018,51306
01/02/2018,96927
01/03/2018,68295
01/04/2018,126923
01/05/2018,49733
01/06/2018,64322
01/07/2018,77353
01/08/2018,-269617
01/09/2018,84177
01/10/2018,52721
01/11/2018,61017
01/12/2018,70557
01/01/2019,81837
01/02/2019,76597
01/03/2019,52257
01/04/2019,46717
01/05/2019,200535
01/06/2019,144293
01/07/2019,121744
01/08/2019,160287
