Date,Average Views
01/09/2016,7190
01/10/2016,10580
01/11/2016,19888
01/12/2016,19017
01/01/2017,16569
01/02/2017,20225
01/03/2017,20488
01/04/2017,23921
01/05/2017,16417
01/06/2017,71384
01/07/2017,57285
01/08/2017,51553
01/09/2017,44266
01/10/2017,33320
01/11/2017,33875
01/12/2017,28243
01/01/2018,34852
01/02/2018,53693
01/03/2018,42368
01/04/2018,44810
01/05/2018,36563
01/06/2018,44425
01/07/2018,43681
01/08/2018,32253
01/09/2018,39482
01/10/2018,25483
01/11/2018,32789
01/12/2018,36623
01/01/2019,130582
01/02/2019,65861
01/03/2019,62311
01/04/2019,53644
01/05/2019,40287
01/06/2019,100869
01/07/2019,45099
01/08/2019,46487
