Date,Average Views
01/09/2016,606
01/10/2016,1654
01/11/2016,1910
01/12/2016,2217
01/01/2017,3525
01/02/2017,2542
01/03/2017,7049
01/04/2017,8553
01/05/2017,8500
01/06/2017,11125
01/07/2017,8241
01/08/2017,6570
01/09/2017,20915
01/10/2017,8881
01/11/2017,10740
01/12/2017,7931
01/01/2018,9848
01/02/2018,14054
01/03/2018,12125
01/04/2018,14020
01/05/2018,33492
01/06/2018,28358
01/07/2018,28539
01/08/2018,75149
01/09/2018,67346
01/10/2018,41454
01/11/2018,85130
01/12/2018,63606
01/01/2019,95478
01/02/2019,54679
01/03/2019,122325
01/04/2019,83763
01/05/2019,75093
01/06/2019,54064
01/07/2019,98147
01/08/2019,82219
