Date,Average Views
01/09/2016,4084
01/10/2016,6548
01/11/2016,7383
01/12/2016,7437
01/01/2017,7298
01/02/2017,7241
01/03/2017,7063
01/04/2017,8277
01/05/2017,8701
01/06/2017,6964
01/07/2017,8004
01/08/2017,8201
01/09/2017,8900
01/10/2017,11330
01/11/2017,9864
01/12/2017,10850
01/01/2018,9004
01/02/2018,7819
01/03/2018,9189
01/04/2018,9587
01/05/2018,11575
01/06/2018,10110
01/07/2018,13389
01/08/2018,11347
01/09/2018,24601
01/10/2018,28189
01/11/2018,27295
01/12/2018,28309
01/01/2019,34698
01/02/2019,56656
01/03/2019,54628
01/04/2019,64206
01/05/2019,45117
01/06/2019,59050
01/07/2019,71783
01/08/2019,60634
