Date,Average Views
01/09/2016,11641
01/10/2016,20005
01/11/2016,28475
01/12/2016,24751
01/01/2017,21651
01/02/2017,19794
01/03/2017,17028
01/04/2017,13471
01/05/2017,10750
01/06/2017,7468
01/07/2017,-1206965
01/08/2017,1208
01/09/2017,2615
01/10/2017,1540
01/11/2017,1692
01/12/2017,1808
01/01/2018,1720
01/02/2018,4523
01/03/2018,5214
01/04/2018,4774
01/05/2018,5968
01/06/2018,4857
01/07/2018,8826
01/08/2018,6956
01/09/2018,8142
01/10/2018,11580
01/11/2018,10170
01/12/2018,10238
01/01/2019,13148
01/02/2019,10928
01/03/2019,9212
01/04/2019,20172
01/05/2019,9994
01/06/2019,10926
01/07/2019,10368
01/08/2019,6645
